"subject" "activity" "measurement" "average"
1 "Walking" "fBodyAccJerkmeanX" -0.547348892435764
1 "Walking" "fBodyAccJerkmeanY" -0.507343617969859
1 "Walking" "fBodyAccJerkmeanZ" -0.695305113832853
1 "Walking" "fBodyAccJerkstdX" -0.543979776127867
1 "Walking" "fBodyAccJerkstdY" -0.466251676533372
1 "Walking" "fBodyAccJerkstdZ" -0.737861932680115
1 "Walking" "fBodyAccMagmean" -0.478448523354179
1 "Walking" "fBodyAccmeanX" -0.531895161258213
1 "Walking" "fBodyAccmeanY" -0.406435448904438
1 "Walking" "fBodyAccmeanZ" -0.596411165253602
1 "Walking" "fBodyAccstdX" -0.553060616663401
1 "Walking" "fBodyAccstdY" -0.390150939647061
1 "Walking" "fBodyAccstdZ" -0.498583091676081
1 "Walking" "fBodyBodyAccJerkMagmean" -0.499075765624092
1 "Walking" "fBodyBodyGyroJerkMagmean" -0.645970655298847
1 "Walking" "fBodyBodyGyroMagmean" -0.535002770337752
1 "Walking" "fBodyGyromeanX" -0.623219182311527
1 "Walking" "fBodyGyromeanY" -0.505309434070029
1 "Walking" "fBodyGyromeanZ" -0.553529065425648
1 "Walking" "fBodyGyrostdX" -0.708263420861671
1 "Walking" "fBodyGyrostdY" -0.429825832648703
1 "Walking" "fBodyGyrostdZ" -0.650476162132565
1 "Walking" "tBodyAccJerkMagmean" -0.545431612066571
1 "Walking" "tBodyAccJerkmeanX" 0.0770930495126801
1 "Walking" "tBodyAccJerkmeanY" 0.0165908438802305
1 "Walking" "tBodyAccJerkmeanZ" -0.00910758730117003
1 "Walking" "tBodyAccJerkstdX" -0.524721922818732
1 "Walking" "tBodyAccJerkstdY" -0.470412403511239
1 "Walking" "tBodyAccJerkstdZ" -0.717322274881844
1 "Walking" "tBodyAccMagmean" -0.453632943768818
1 "Walking" "tBodyAccmeanX" 0.265696920582133
1 "Walking" "tBodyAccmeanY" -0.0182981725176081
1 "Walking" "tBodyAccmeanZ" -0.10784573454611
1 "Walking" "tBodyAccstdX" -0.545795331328326
1 "Walking" "tBodyAccstdY" -0.367716218227378
1 "Walking" "tBodyAccstdZ" -0.502645746562824
1 "Walking" "tBodyGyroJerkMagmean" -0.639517432642651
1 "Walking" "tBodyGyroJerkmeanX" -0.0971120197265994
1 "Walking" "tBodyGyroJerkmeanY" -0.0417164808293948
1 "Walking" "tBodyGyroJerkmeanZ" -0.0471393985477522
1 "Walking" "tBodyGyroJerkstdX" -0.637812687210375
1 "Walking" "tBodyGyroJerkstdY" -0.634472244550432
1 "Walking" "tBodyGyroJerkstdZ" -0.664591977786455
1 "Walking" "tBodyGyroMagmean" -0.475404785802305
1 "Walking" "tBodyGyromeanX" -0.0208764064320173
1 "Walking" "tBodyGyromeanY" -0.0880722729400576
1 "Walking" "tBodyGyromeanZ" 0.0862641666597983
1 "Walking" "tBodyGyrostdX" -0.686555715201729
1 "Walking" "tBodyGyrostdY" -0.450979810499568
1 "Walking" "tBodyGyrostdZ" -0.597496136795101
1 "Walking" "tGravityAccMagmean" -0.453632943768818
1 "Walking" "tGravityAccmeanX" 0.744867411573487
1 "Walking" "tGravityAccmeanY" -0.0825562579855908
1 "Walking" "tGravityAccmeanZ" 0.072339870389049
1 "Walking" "tGravityAccstdX" -0.959859435936599
1 "Walking" "tGravityAccstdY" -0.951150627458213
1 "Walking" "tGravityAccstdZ" -0.925817590867435
2 "Walking" "fBodyAccJerkmeanX" -0.561682049622185
2 "Walking" "fBodyAccJerkmeanY" -0.50890379901457
2 "Walking" "fBodyAccJerkmeanZ" -0.715745330403973
2 "Walking" "fBodyAccJerkstdX" -0.595105612895033
2 "Walking" "fBodyAccJerkstdY" -0.509147543673841
2 "Walking" "fBodyAccJerkstdZ" -0.767087015496689
2 "Walking" "fBodyAccMagmean" -0.514569861316887
2 "Walking" "fBodyAccmeanX" -0.57377091142947
2 "Walking" "fBodyAccmeanY" -0.432566581302351
2 "Walking" "fBodyAccmeanZ" -0.630081222124834
2 "Walking" "fBodyAccstdX" -0.619788102803311
2 "Walking" "fBodyAccstdY" -0.464723862913245
2 "Walking" "fBodyAccstdZ" -0.600678614835099
2 "Walking" "fBodyBodyAccJerkMagmean" -0.509746432970861
2 "Walking" "fBodyBodyGyroJerkMagmean" -0.751615078360927
2 "Walking" "fBodyBodyGyroMagmean" -0.699742945221854
2 "Walking" "fBodyGyromeanX" -0.638717694593046
2 "Walking" "fBodyGyromeanY" -0.722068978635762
2 "Walking" "fBodyGyromeanZ" -0.601594889654305
2 "Walking" "fBodyGyrostdX" -0.734588540182119
2 "Walking" "fBodyGyrostdY" -0.72716774102649
2 "Walking" "fBodyGyrostdZ" -0.683114494539735
2 "Walking" "tBodyAccJerkMagmean" -0.58777744543543
2 "Walking" "tBodyAccJerkmeanX" 0.0785353156747351
2 "Walking" "tBodyAccJerkmeanY" 0.00708771249764901
2 "Walking" "tBodyAccJerkmeanZ" 0.000755760748377483
2 "Walking" "tBodyAccJerkstdX" -0.557809603123841
2 "Walking" "tBodyAccJerkstdY" -0.491875889831788
2 "Walking" "tBodyAccJerkstdZ" -0.741885388311258
2 "Walking" "tBodyAccMagmean" -0.535281800541722
2 "Walking" "tBodyAccmeanX" 0.273113115788079
2 "Walking" "tBodyAccmeanY" -0.0191323183174834
2 "Walking" "tBodyAccmeanZ" -0.115649958175497
2 "Walking" "tBodyAccstdX" -0.605586497159271
2 "Walking" "tBodyAccstdY" -0.428962986589404
2 "Walking" "tBodyAccstdZ" -0.589360062210596
2 "Walking" "tBodyGyroJerkMagmean" -0.746559539039735
2 "Walking" "tBodyGyroJerkmeanX" -0.0875587491668874
2 "Walking" "tBodyGyroJerkmeanY" -0.0433986835453642
2 "Walking" "tBodyGyroJerkmeanZ" -0.0557541828188742
2 "Walking" "tBodyGyroJerkstdX" -0.671679103311258
2 "Walking" "tBodyGyroJerkstdY" -0.783595466728477
2 "Walking" "tBodyGyroJerkstdZ" -0.674611933293046
2 "Walking" "tBodyGyroMagmean" -0.614771054893146
2 "Walking" "tBodyGyromeanX" -0.0517030657821192
2 "Walking" "tBodyGyromeanY" -0.0568420186817881
2 "Walking" "tBodyGyromeanZ" 0.0872599422291391
2 "Walking" "tBodyGyrostdX" -0.710648927815894
2 "Walking" "tBodyGyrostdY" -0.722943674337748
2 "Walking" "tBodyGyrostdZ" -0.634888927843046
2 "Walking" "tGravityAccMagmean" -0.535281800541722
2 "Walking" "tGravityAccmeanX" 0.660782866688742
2 "Walking" "tGravityAccmeanY" -0.147219886910411
2 "Walking" "tGravityAccmeanZ" 0.134865335090728
2 "Walking" "tGravityAccstdX" -0.963015508245033
2 "Walking" "tGravityAccstdY" -0.960033560165563
2 "Walking" "tGravityAccstdZ" -0.945365383907285
3 "Walking" "fBodyAccJerkmeanX" -0.645893496630499
3 "Walking" "fBodyAccJerkmeanY" -0.582949919157742
3 "Walking" "fBodyAccJerkmeanZ" -0.780101644193548
3 "Walking" "fBodyAccJerkstdX" -0.657844055881525
3 "Walking" "fBodyAccJerkstdY" -0.559851186088408
3 "Walking" "fBodyAccJerkstdZ" -0.81080601659824
3 "Walking" "fBodyAccMagmean" -0.579076453758064
3 "Walking" "fBodyAccmeanX" -0.625733289873607
3 "Walking" "fBodyAccmeanY" -0.501779938505279
3 "Walking" "fBodyAccmeanZ" -0.699656828592375
3 "Walking" "fBodyAccstdX" -0.623805015199413
3 "Walking" "fBodyAccstdY" -0.502753639795894
3 "Walking" "fBodyAccstdZ" -0.657443765803519
3 "Walking" "fBodyBodyAccJerkMagmean" -0.604752108072727
3 "Walking" "fBodyBodyGyroJerkMagmean" -0.810085498651026
3 "Walking" "fBodyBodyGyroMagmean" -0.716822144279179
3 "Walking" "fBodyGyromeanX" -0.642097719778592
3 "Walking" "fBodyGyromeanY" -0.775144985073314
3 "Walking" "fBodyGyromeanZ" -0.670734708996481
3 "Walking" "fBodyGyrostdX" -0.719276622702346
3 "Walking" "fBodyGyrostdY" -0.758505287214076
3 "Walking" "fBodyGyrostdZ" -0.751008875659824
3 "Walking" "tBodyAccJerkMagmean" -0.650182434328446
3 "Walking" "tBodyAccJerkmeanX" 0.0701731261988856
3 "Walking" "tBodyAccJerkmeanY" 0.0144664329060411
3 "Walking" "tBodyAccJerkmeanZ" -0.000526818872875366
3 "Walking" "tBodyAccJerkstdX" -0.635484688041056
3 "Walking" "tBodyAccJerkstdY" -0.55721186773783
3 "Walking" "tBodyAccJerkstdZ" -0.796066240234604
3 "Walking" "tBodyAccMagmean" -0.563140802770059
3 "Walking" "tBodyAccmeanX" 0.273428719636364
3 "Walking" "tBodyAccmeanY" -0.017856067384956
3 "Walking" "tBodyAccmeanZ" -0.106492632429097
3 "Walking" "tBodyAccstdX" -0.623413602046921
3 "Walking" "tBodyAccstdY" -0.480015920697654
3 "Walking" "tBodyAccstdZ" -0.653625579293255
3 "Walking" "tBodyGyroJerkMagmean" -0.784056656246334
3 "Walking" "tBodyGyroJerkmeanX" -0.0991554609633431
3 "Walking" "tBodyGyroJerkmeanY" -0.0401923943695015
3 "Walking" "tBodyGyroJerkmeanZ" -0.0521178264170088
3 "Walking" "tBodyGyroJerkstdX" -0.689328428607038
3 "Walking" "tBodyGyroJerkstdY" -0.842659862111437
3 "Walking" "tBodyGyroJerkstdZ" -0.743028500565982
3 "Walking" "tBodyGyroMagmean" -0.643150121648094
3 "Walking" "tBodyGyromeanX" -0.0248490682828446
3 "Walking" "tBodyGyromeanY" -0.0743565308442815
3 "Walking" "tBodyGyromeanZ" 0.0866875497119062
3 "Walking" "tBodyGyrostdX" -0.699262195705865
3 "Walking" "tBodyGyrostdY" -0.76302218170088
3 "Walking" "tBodyGyrostdZ" -0.709483440322581
3 "Walking" "tGravityAccMagmean" -0.563140802770059
3 "Walking" "tGravityAccmeanX" 0.707814353343108
3 "Walking" "tGravityAccmeanY" -0.0260590480328739
3 "Walking" "tGravityAccmeanZ" 0.0480937904190616
3 "Walking" "tGravityAccstdX" -0.966457565630499
3 "Walking" "tGravityAccstdY" -0.9445645371261
3 "Walking" "tGravityAccstdZ" -0.926966278211144
4 "Walking" "fBodyAccJerkmeanX" -0.717973724971649
4 "Walking" "fBodyAccJerkmeanY" -0.684648403917526
4 "Walking" "fBodyAccJerkmeanZ" -0.845383895412371
4 "Walking" "fBodyAccJerkstdX" -0.710952957814433
4 "Walking" "fBodyAccJerkstdY" -0.679116699128866
4 "Walking" "fBodyAccJerkstdZ" -0.872348615876289
4 "Walking" "fBodyAccMagmean" -0.668273665958763
4 "Walking" "fBodyAccmeanX" -0.698994344226804
4 "Walking" "fBodyAccmeanY" -0.610966605674742
4 "Walking" "fBodyAccmeanZ" -0.784964119020619
4 "Walking" "fBodyAccstdX" -0.679316495457474
4 "Walking" "fBodyAccstdY" -0.60587907902268
4 "Walking" "fBodyAccstdZ" -0.739920171907216
4 "Walking" "fBodyBodyAccJerkMagmean" -0.702045896773196
4 "Walking" "fBodyBodyGyroJerkMagmean" -0.86760194427835
4 "Walking" "fBodyBodyGyroMagmean" -0.785172936701031
4 "Walking" "fBodyGyromeanX" -0.708097003278351
4 "Walking" "fBodyGyromeanY" -0.851859241237113
4 "Walking" "fBodyGyromeanZ" -0.723913683350515
4 "Walking" "fBodyGyrostdX" -0.765931837365979
4 "Walking" "fBodyGyrostdY" -0.818105282886598
4 "Walking" "fBodyGyrostdZ" -0.778863649278351
4 "Walking" "tBodyAccJerkMagmean" -0.72234055742268
4 "Walking" "tBodyAccJerkmeanX" 0.0780162237953608
4 "Walking" "tBodyAccJerkmeanY" -0.0010311298138299
4 "Walking" "tBodyAccJerkmeanZ" -0.00737070069603093
4 "Walking" "tBodyAccJerkstdX" -0.701066737438144
4 "Walking" "tBodyAccJerkstdY" -0.670976701376289
4 "Walking" "tBodyAccJerkstdZ" -0.859502524793814
4 "Walking" "tBodyAccMagmean" -0.637532979814948
4 "Walking" "tBodyAccmeanX" 0.277034464752577
4 "Walking" "tBodyAccmeanY" -0.0133496817746907
4 "Walking" "tBodyAccmeanZ" -0.105916135927835
4 "Walking" "tBodyAccstdX" -0.68386446609433
4 "Walking" "tBodyAccstdY" -0.589609330539691
4 "Walking" "tBodyAccstdZ" -0.741959040257732
4 "Walking" "tBodyGyroJerkMagmean" -0.849581355824742
4 "Walking" "tBodyGyroJerkmeanX" -0.10509869233866
4 "Walking" "tBodyGyroJerkmeanY" -0.0410624426912371
4 "Walking" "tBodyGyroJerkmeanZ" -0.060866534304433
4 "Walking" "tBodyGyroJerkstdX" -0.778479585721649
4 "Walking" "tBodyGyroJerkstdY" -0.911436316752577
4 "Walking" "tBodyGyroJerkstdZ" -0.790578254329897
4 "Walking" "tBodyGyroMagmean" -0.708221087886598
4 "Walking" "tBodyGyromeanX" -0.0298726752979381
4 "Walking" "tBodyGyromeanY" -0.0750086556675258
4 "Walking" "tBodyGyromeanZ" 0.0956607416628866
4 "Walking" "tBodyGyrostdX" -0.750915960835052
4 "Walking" "tBodyGyrostdY" -0.828888294742268
4 "Walking" "tBodyGyrostdZ" -0.745904225824742
4 "Walking" "tGravityAccMagmean" -0.637532979814948
4 "Walking" "tGravityAccmeanX" 0.731456509896907
4 "Walking" "tGravityAccmeanY" 0.072347989306416
4 "Walking" "tGravityAccmeanZ" 0.193993433768041
4 "Walking" "tGravityAccstdX" -0.967576704329897
4 "Walking" "tGravityAccstdY" -0.94170652321134
4 "Walking" "tGravityAccstdZ" -0.936724233273196
4 "Walking Upstairs" "fBodyAccJerkmeanX" -0.548003358486179
4 "Walking Upstairs" "fBodyAccJerkmeanY" -0.470861077819187
4 "Walking Upstairs" "fBodyAccJerkmeanZ" -0.793248930406504
4 "Walking Upstairs" "fBodyAccJerkstdX" -0.540002452644715
4 "Walking Upstairs" "fBodyAccJerkstdY" -0.459377588636585
4 "Walking Upstairs" "fBodyAccJerkstdZ" -0.841927060081301
4 "Walking Upstairs" "fBodyAccMagmean" -0.497723469494309
4 "Walking Upstairs" "fBodyAccmeanX" -0.518103409715447
4 "Walking Upstairs" "fBodyAccmeanY" -0.391561268041463
4 "Walking Upstairs" "fBodyAccmeanZ" -0.708346275365854
4 "Walking Upstairs" "fBodyAccstdX" -0.468588371045528
4 "Walking Upstairs" "fBodyAccstdY" -0.422334649479756
4 "Walking Upstairs" "fBodyAccstdZ" -0.659623483821138
4 "Walking Upstairs" "fBodyBodyAccJerkMagmean" -0.529301794643089
4 "Walking Upstairs" "fBodyBodyGyroJerkMagmean" -0.793458132276423
